Complaint total,Temp Avg,Hum Avg,Baro Avg,Windspeed,Gust,Wind Direction,Heat Index,Wind Chill,Dew Point
0,75.2,57.0,30.12,0.0,0.0,135.0,75.2,75.2,58.7
0,75.38,57.0,30.12,0.0,0.0,135.0,75.38,75.4,59.0
0,75.75,58.0,30.11,0.0,0.0,135.0,75.75,75.8,60.0
0,75.97,59.0,30.11,0.0,0.0,135.0,75.97,76.0,60.4
0,75.85,59.0,30.11,0.0,0.0,135.0,75.85,75.9,60.5
1,75.68,59.0,30.13,0.0,0.0,135.0,75.68,75.7,60.5
1,75.5,63.0,30.13,0.0,0.0,135.0,75.5,75.5,61.9
0,75.34,63.0,30.15,0.0,0.0,135.0,75.34,75.3,61.8
0,75.14,63.0,30.17,0.0,0.0,135.0,75.14,75.1,61.5
0,74.99,62.0,30.18,0.0,0.0,135.0,74.99,75.0,61.1
0,74.77,63.0,30.19,0.0,0.0,135.0,74.77,74.8,61.1
0,74.56,63.0,30.19,0.0,0.0,135.0,74.56,74.6,61.2
0,74.44,63.0,30.2,0.0,0.0,135.0,74.44,74.4,61.0
0,74.28,63.0,30.2,0.0,0.0,135.0,74.28,74.3,60.9
0,74.2,63.0,30.19,0.0,0.0,135.0,74.2,74.2,60.8
0,74.2,64.0,30.19,0.0,0.0,135.0,74.2,74.2,61.0
0,74.19,64.0,30.21,0.0,0.0,135.0,74.19,74.2,61.2
0,74.01,64.0,30.23,0.0,0.0,135.0,74.01,74.0,61.0
0,73.99,64.0,30.24,0.0,0.0,135.0,73.99,74.0,61.0
1,73.97,64.0,30.25,0.0,0.0,135.0,73.97,74.0,61.2
0,74.48,66.0,30.26,0.0,0.0,135.0,74.48,74.5,62.4
1,74.7,67.0,30.28,0.0,0.0,135.0,74.7,74.7,63.0
0,74.86,66.0,30.28,0.0,0.0,135.0,74.86,74.9,62.9
0,75.2,65.0,30.28,0.0,0.0,135.0,75.2,75.2,62.5
0,75.2,65.0,30.28,0.0,0.0,135.0,75.2,75.2,62.6
0,75.24,65.0,30.27,0.0,0.0,135.0,75.24,75.2,62.5
1,75.44,64.0,30.27,0.0,0.0,135.0,75.44,75.4,62.5
1,75.42,65.0,30.27,0.0,0.0,135.0,75.42,75.4,62.8
0,75.36,65.0,30.27,0.0,0.0,135.0,75.36,75.4,62.6
0,75.2,67.0,30.27,0.0,0.0,135.0,75.2,75.2,63.3
0,75.2,67.0,30.27,0.0,0.0,135.0,75.2,75.2,63.6
0,74.99,67.0,30.27,0.0,0.0,135.0,74.99,75.0,63.3
0,74.72,67.0,30.28,0.0,0.0,135.0,74.72,74.7,63.0
0,74.47,67.0,30.3,0.0,0.0,135.0,74.47,74.5,62.8
0,74.31,67.0,30.3,0.0,0.0,135.0,74.31,74.3,62.6
0,74.2,68.0,30.29,0.0,0.0,135.0,74.2,74.2,62.8
0,74.08,68.0,30.29,0.0,0.0,135.0,74.08,74.1,62.8
0,73.92,68.0,30.28,0.0,0.0,135.0,73.92,73.9,62.7
0,73.75,68.0,30.26,0.0,0.0,135.0,73.75,73.8,62.6
0,73.61,68.0,30.24,0.0,0.0,135.0,73.61,73.6,62.4
0,73.48,68.0,30.23,0.0,0.0,135.0,73.48,73.5,62.3
0,73.38,68.0,30.23,0.0,0.0,135.0,73.38,73.4,62.2
1,73.22,69.0,30.23,0.0,0.0,135.0,73.22,73.2,62.4
0,73.2,69.0,30.24,0.0,0.0,135.0,73.2,73.2,62.4
1,,,,,,,,,
1,73.61,91.0,30.16,3.75714,7.2,271.0,73.61,73.6,70.8
1,73.71,92.0,30.16,3.3666699999999996,9.3,275.0,73.71,73.7,71.3
0,74.6,91.0,30.14,3.4216699999999998,10.5,271.0,74.6,74.6,71.7
0,74.73,91.0,30.13,3.5166699999999995,8.9,276.0,74.73,74.7,72.0
0,73.58,93.0,30.11,4.5616699999999994,10.6,233.0,73.58,73.6,71.3
0,73.3,93.0,30.09,3.81,9.3,257.0,73.3,73.3,71.0
0,73.19,93.0,30.09,3.89,11.1,245.0,73.19,73.2,70.9
0,73.16,94.0,30.09,2.8166700000000002,8.9,281.0,73.16,73.2,71.4
0,73.27,94.0,30.08,2.335,6.5,284.0,73.27,73.3,71.5
1,72.43,95.0,30.08,0.39666999999999997,3.2,271.0,72.43,72.4,70.9
1,71.25,97.0,30.07,0.06667000000000001,2.6,270.0,71.25,71.2,70.2
0,71.31,93.0,30.07,2.525,8.9,67.0,71.31,71.3,69.3
0,71.03,81.0,30.07,3.2966699999999998,10.5,45.0,71.03,71.0,64.9
0,68.71,79.0,30.08,3.0383299999999998,8.1,81.0,68.71,68.7,61.8
0,67.44,74.0,30.1,4.025,11.0,71.0,67.44,67.4,58.8
0,64.8,77.0,30.12,4.51167,14.0,90.0,64.8,64.8,57.3
0,62.56,75.0,30.16,4.08833,14.5,83.0,62.56,62.6,54.6
0,60.85,74.0,30.19,4.21833,10.5,77.0,60.85,60.8,52.5
0,60.09,68.0,30.22,4.7,17.6,87.0,60.09,60.1,49.6
0,59.32,63.0,30.23,5.4433300000000004,17.5,78.0,59.32,59.3,46.8
0,60.75,62.0,30.23,4.78333,14.6,73.0,60.75,60.7,47.7
1,62.48,60.0,30.24,4.91333,15.4,99.0,62.48,62.5,48.4
0,64.4,57.0,30.23,4.57667,14.1,85.0,64.4,64.4,48.8
0,65.33,55.0,30.23,4.56,12.0,84.0,65.33,65.3,48.9
1,66.81,53.0,30.22,4.46333,11.6,54.0,66.81,66.8,49.1
1,68.81,47.0,30.21,4.37,13.8,50.0,68.81,68.8,47.6
0,70.21,44.0,30.21,3.885,11.4,35.0,70.21,70.2,47.3
1,69.55,45.0,30.22,4.045,12.8,79.0,69.55,69.6,47.3
1,68.4,46.0,30.23,2.72167,9.8,85.0,68.4,68.4,46.8
0,66.2,48.0,30.26,2.61167,10.3,76.0,66.2,66.2,46.1
0,62.92,55.0,30.28,0.78,4.4,76.0,62.92,62.9,46.3
1,60.35,62.0,30.3,1.59,9.0,315.0,60.35,60.4,47.1
0,59.56,63.0,30.32,2.81833,7.2,40.0,59.56,59.6,47.1
0,57.95,67.0,30.33,3.15167,8.9,72.0,57.95,58.0,46.9
0,56.48,68.0,30.34,2.29167,6.7,74.0,56.48,56.5,46.2
1,54.97,71.0,30.34,1.03167,4.4,73.0,54.97,55.0,45.6
0,54.54,72.0,30.35,1.8416700000000001,6.2,90.0,54.54,54.5,45.8
0,51.53,78.0,30.35,0.62833,3.7,41.0,51.53,51.5,44.9
0,49.68,82.0,30.35,0.19833,2.6,68.0,49.68,49.7,44.4
0,47.98,86.0,30.36,0.055,1.3,247.0,47.98,48.0,44.0
0,47.12,89.0,30.37,0.02,1.3,291.0,47.12,47.1,44.0
1,46.49,90.0,30.38,0.22,3.5,315.0,46.49,46.5,43.7
1,50.51,82.0,30.4,2.34,5.5,73.0,50.51,50.5,45.3
1,55.28,72.0,30.41,2.97833,7.2,89.0,55.28,55.3,46.4
0,59.4,64.0,30.42,2.395,6.7,71.0,59.4,59.4,47.0
1,62.61,57.0,30.42,2.005,5.7,92.0,62.61,62.6,47.3
0,64.77,52.0,30.4,2.78167,7.9,146.0,64.77,64.8,46.7
0,65.51,50.0,30.39,2.995,9.0,158.0,65.51,65.5,46.1
0,66.9,48.0,30.38,3.5516699999999997,11.1,153.0,66.9,66.9,46.5
0,66.72,46.0,30.36,3.58667,11.1,139.0,66.72,66.7,45.0
0,66.29,43.0,30.35,4.29667,10.5,251.0,66.29,66.3,43.1
0,65.09,49.0,30.35,4.38,11.9,207.0,65.09,65.1,45.1
0,64.21,54.0,30.35,3.725,10.0,231.0,64.21,64.2,47.4
0,62.16,57.0,30.34,2.7516700000000003,7.9,271.0,62.16,62.2,46.9
0,59.68,67.0,30.34,1.165,5.5,225.0,59.68,59.7,48.7
0,58.59,72.0,30.34,1.6683299999999999,5.5,230.0,58.59,58.6,49.4
0,57.52,75.0,30.34,1.02833,4.0,225.0,57.52,57.5,49.7
