"ARRIVAL
DATE","ARRIVAL
TIME (if avail)",TERMINAL,SHIP NAME,"LAST PORT
 OF CALL (if avail)",PRODUCT TYPE - OIL,"PRODUCT AMOUNT - OIL
Multiply metric tons by 7.5 for approx bbls",,RUNNING TOTAL ,PRODUCT TYPE - NON-OIL,PRODUCT AMOUNT - NON OIL,,"RUNNING TOTAL
(Specify Units)"
4/8/21,,Buckeye,Iver Prosperity,St. John ,23 - Unleaded Gasoline,"40,000",,"7,087,972",,,,0
4/8/21,,Buckeye,Iver Prosperity,St. John ,23 - Unleaded Gasoline,"35,000",,"7,127,972",,,,0
4/8/21,,Buckeye,Iver Prosperity,St. John ,29 - Diesel (aka ULSD),"30,000",,"7,162,972",,,,0
4/8/21,,Buckeye,Iver Prosperity,St. John ,"02 - #2 Fuel Oil (aka FO, MGO, DMA)","50,000",,"7,192,972",,,,0
4/13/21,,Buckeye,Nor'easter,St. John ,23 - Unleaded Gasoline,"94,000",,"7,242,972",,,,0
4/13/21,,Buckeye,Nor'easter,St. John ,29 - Diesel (aka ULSD),"25,000",,"7,336,972",,,,0
4/13/21,,Buckeye,Nor'easter,St. John ,"02 - #2 Fuel Oil (aka FO, MGO, DMA)","20,000",,"7,361,972",,,,0
4/28/21,,Buckeye,East Coast,St. John ,23 - Unleaded Gasoline,"45,000",,"7,381,972",,,,0
4/28/21,,Buckeye,East Coast,St. John ,23 - Unleaded Gasoline,"68,000",,"7,426,972",,,,0
4/28/21,,Buckeye,East Coast,St. John ,29 - Diesel (aka ULSD),"25,000",,"7,494,972",,,,0
4/28/21,,Buckeye,East Coast,St. John ,"02 - #2 Fuel Oil (aka FO, MGO, DMA)","17,000",,"7,519,972",,,,0
4/2/21,,Global,New England,,06 - #6 Fuel Oil (aka IFO 380),"2,032",,"7,536,972",,,,0
4/26/21,,Global,New England,,06 - #6 Fuel Oil (aka IFO 380),"2,254",,"7,539,004",,,,0
4/2/21,,Global,Hellas Califa,,"02 - #2 Fuel Oil (aka FO, MGO, DMA)","120,000",,"7,541,258",,,,0
4/2/21,,Global,New England,,06 - #6 Fuel Oil (aka IFO 380),"2,032",,"7,661,258",,,,0
4/6/21,,Sprague,Mt East Coast,St. John ,"02 - #2 Fuel Oil (aka FO, MGO, DMA)","45,000",,"7,663,290",,,,0
4/26/21,,Sprague,Penn 92,St. John ,41 - Asphalt,"71,000",,"7,708,290",,,,0
4/26/21,,Sprague,Penn 92,St. John ,88 - Other,"18,500",,"7,779,290",,,,0
5/6/21,,Citgo,DBL-140,New York,34 - Ethanol (aka E-100),"15,000",,"7,797,790",,,,0
5/9/21,,Citgo,Acadian,St. John ,23 - Unleaded Gasoline,"71,000",,"7,812,790",,,,0
5/9/21,,Citgo,Acadian,St. John ,23 - Unleaded Gasoline,"23,000",,"7,883,790",,,,0
5/8/21,,Citgo,Iver Prosperity,"Portsmouth, NH",23 - Unleaded Gasoline,"37,000",,"7,906,790",,,,0
5/14/21,,Citgo,DBL-140,New York,34 - Ethanol (aka E-100),"10,000",,"7,943,790",,,,0
5/13/21,,Citgo,Acadian,St. John ,23 - Unleaded Gasoline,"105,000",,"7,953,790",,,,0
5/19/21,,Citgo,Acadian,St. John ,23 - Unleaded Gasoline,"110,000",,"8,058,790",,,,0
5/19/21,,Citgo,Acadian,St. John ,28 - Premium Unleaded Gasoline,"20,000",,"8,168,790",,,,0
5/20/21,,Citgo,Eva Leigh Cutler,New York,34 - Ethanol (aka E-100),"26,000",,"8,188,790",,,,0
5/25/21,,Citgo,New England,St. John ,23 - Unleaded Gasoline,"111,000",,"8,214,790",,,,0
5/25/21,,Citgo,New England,St. John ,"02 - #2 Fuel Oil (aka FO, MGO, DMA)","10,000",,"8,325,790",,,,0
5/25/21,,Citgo,New England,St. John ,29 - Diesel (aka ULSD),"30,000",,"8,335,790",,,,0
5/28/21,,Citgo,DBL-104,St. John ,34 - Ethanol (aka E-100),"16,000",,"8,365,790",,,,0
5/29/21,,Citgo,New England,St. John ,23 - Unleaded Gasoline,"65,000",,"8,381,790",,,,0
5/29/21,,Citgo,New England,St. John ,29 - Diesel (aka ULSD),"50,000",,"8,446,790",,,,0
5/9/21,,Gulf,Acadian,St. John ,23 - Unleaded Gasoline,"12,000",,"8,496,790",,,,0
5/21/21,,Gulf,Nor'easter,St. John ,23 - Unleaded Gasoline,"38,000",,"8,508,790",,,,0
5/30/21,,Gulf,Aker Alos,"New Haven, CT",23 - Unleaded Gasoline,"110,000",,"8,546,790",,,,0
5/2/21,,Gulf,SCF USSURI,"New Haven, CT",23 - Unleaded Gasoline,"130,000",,"8,656,790",,,,0
5/5/21,,Gulf,RTC-104,"New Haven, CT",34 - Ethanol (aka E-100),"20,000",,"8,786,790",,,,0
5/14/21,,Buckeye,DBL-140,New York,34 - Ethanol (aka E-100),"10,000",,"8,806,790",,,,0
5/13/21,,Buckeye,Acadian,St. John ,23 - Unleaded Gasoline,"40,000",,"8,816,790",,,,0
5/13/21,,Buckeye,Acadian,St. John ,23 - Unleaded Gasoline,"72,000",,"8,856,790",,,,0
5/13/21,,Buckeye,Acadian,St. John ,29 - Diesel (aka ULSD),"42,000",,"8,928,790",,,,0
5/13/21,,Buckeye,Acadian,St. John ,"02 - #2 Fuel Oil (aka FO, MGO, DMA)","8,000",,"8,970,790",,,,0
5/28/21,,Buckeye,DBL-104,New York,34 - Ethanol (aka E-100),"10,000",,"8,978,790",,,,0
5/7/21,,Buckeye,DBL-104,New York,34 - Ethanol (aka E-100),"10,000",,"8,988,790",,,,0
5/7/21,,Global,T/B Penn 92,St. John ,41 - Asphalt,"34,000",,"8,998,790",,,,0
5/29/21,,Global,New England,,"02 - #2 Fuel Oil (aka FO, MGO, DMA)","1,525",,"9,032,790",,,,0
5/29/21,,Global,New England,,06 - #6 Fuel Oil (aka IFO 380),"2,371",,"9,034,315",,,,0
5/30/21,,Global,New England,,"02 - #2 Fuel Oil (aka FO, MGO, DMA)","1,016",,"9,036,686",,,,0
5/30/21,,Global,New England,,06 - #6 Fuel Oil (aka IFO 380),"4,540",,"9,037,702",,,,0
5/4/21,,Sprague,Nor'easter,St. John ,"02 - #2 Fuel Oil (aka FO, MGO, DMA)","25,000",,"9,042,242",,,,0
5/4/21,,Sprague,Nor'easter,St. John ,25 - Jet Fuel,"35,000",,"9,067,242",,,,0
5/21/21,,Portland Pipeline,Olympisky Prospect,,61 - Crude Oil,"658,000",,"9,102,242",,,,0
5/20/21,,Portland Pipeline,Olympisky Prospect,,61 - Crude Oil,"657,243",,"9,760,242",,,,0
