"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT05","WT06","WT08"
"USW00014764","PORTLAND JETPORT, ME US","2021-05-31","7.83",,"0.16","0.0","0.0","52","59","48","  310","  360","13.0","16.1","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-01","7.61",,"0.00","0.0","0.0","61","77","46","  240","  240","19.9","27.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-02","7.38",,"0.00","0.0","0.0","65","79","47","  180","  200","17.0","23.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-03","8.05",,"0.03","0.0","0.0","63","69","58","  180","  180","19.9","27.1","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-04","5.82",,"0.05","0.0","0.0","68","78","59","  260","  290","12.1","16.1","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-05","7.61",,"0.00","0.0","0.0","71","86","56","  180","  190","18.1","27.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-06","6.04",,"0.00","0.0","0.0","79","87","68","  180","  190","18.1","23.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-07","6.49",,"0.00","0.0","0.0","80","94","64","  280","  210","18.1","25.9",,,,,,"    1"
"USW00014764","PORTLAND JETPORT, ME US","2021-06-08","8.72",,"0.02","0.0","0.0","82","92","72","  270","  270","15.0","21.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-09","6.26",,"0.01","0.0","0.0","78","87","61","  350","  330","18.1","25.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-10","6.93",,"0.00","0.0","0.0","66","70","56","   10","  350","15.0","19.9",,,,,,"    1"
"USW00014764","PORTLAND JETPORT, ME US","2021-06-11","3.80",,"0.00","0.0","0.0","58","61","54","  160","  180","12.1","16.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-12","5.14",,"0.00","0.0","0.0","61","70","52","  160","  170","15.0","19.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-13","8.50",,"0.00","0.0","0.0","68","84","51","  180","  170","19.9","25.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-14","7.61",,"0.32","0.0","0.0","63","70","57","  190","  190","19.9","25.9","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-15","3.13",,"0.05","0.0","0.0","62","69","56","  160","  150","12.1","14.1","    1","    1",,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-16","10.29",,"0.00","0.0","0.0","63","73","51","  330","  350","21.9","29.1","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-17","7.16",,"0.00","0.0","0.0","63","77","48","  270","  270","19.9","25.1",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-18","7.38",,"0.00","0.0","0.0","65","77","50","  190","  170","18.1","23.9",,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-19","6.49",,"0.12","0.0","0.0","71","87","62","  250","  270","18.1","27.1","    1",,,,,
"USW00014764","PORTLAND JETPORT, ME US","2021-06-20","6.71",,"0.00","0.0","0.0","74","88","60","  180","  180","18.1","25.1",,,,,,
